name	component	type	tracked_point	units	sampling_frequency	tracking_system
pelvis_MAGN_z	z	MAGN	pelvis	Gauss	200	imu
left_thigh_ACCEL_x	x	ACCEL	left_thigh	g	200	imu
left_thigh_ACCEL_y	y	ACCEL	left_thigh	g	200	imu
left_thigh_ACCEL_z	z	ACCEL	left_thigh	g	200	imu
left_thigh_GYRO_x	x	GYRO	left_thigh	deg/s	200	imu
left_thigh_GYRO_y	y	GYRO	left_thigh	deg/s	200	imu
left_thigh_GYRO_z	z	GYRO	left_thigh	deg/s	200	imu
left_thigh_MAGN_x	x	MAGN	left_thigh	Gauss	200	imu
left_thigh_MAGN_y	y	MAGN	left_thigh	Gauss	200	imu
left_thigh_MAGN_z	z	MAGN	left_thigh	Gauss	200	imu
left_shank_ACCEL_x	x	ACCEL	left_shank	g	200	imu
left_shank_ACCEL_y	y	ACCEL	left_shank	g	200	imu
left_shank_ACCEL_z	z	ACCEL	left_shank	g	200	imu
left_shank_GYRO_x	x	GYRO	left_shank	deg/s	200	imu
left_shank_GYRO_y	y	GYRO	left_shank	deg/s	200	imu
left_shank_GYRO_z	z	GYRO	left_shank	deg/s	200	imu
left_shank_MAGN_x	x	MAGN	left_shank	Gauss	200	imu
left_shank_MAGN_y	y	MAGN	left_shank	Gauss	200	imu
left_shank_MAGN_z	z	MAGN	left_shank	Gauss	200	imu
left_foot_ACCEL_x	x	ACCEL	left_foot	g	200	imu
left_foot_ACCEL_y	y	ACCEL	left_foot	g	200	imu
left_foot_ACCEL_z	z	ACCEL	left_foot	g	200	imu
left_foot_GYRO_x	x	GYRO	left_foot	deg/s	200	imu
left_foot_GYRO_y	y	GYRO	left_foot	deg/s	200	imu
left_foot_GYRO_z	z	GYRO	left_foot	deg/s	200	imu
left_foot_MAGN_x	x	MAGN	left_foot	Gauss	200	imu
left_foot_MAGN_y	y	MAGN	left_foot	Gauss	200	imu
left_foot_MAGN_z	z	MAGN	left_foot	Gauss	200	imu
right_thigh_ACCEL_x	x	ACCEL	right_thigh	g	200	imu
right_thigh_ACCEL_y	y	ACCEL	right_thigh	g	200	imu
right_thigh_ACCEL_z	z	ACCEL	right_thigh	g	200	imu
right_thigh_GYRO_x	x	GYRO	right_thigh	deg/s	200	imu
right_thigh_GYRO_y	y	GYRO	right_thigh	deg/s	200	imu
right_thigh_GYRO_z	z	GYRO	right_thigh	deg/s	200	imu
right_thigh_MAGN_x	x	MAGN	right_thigh	Gauss	200	imu
right_thigh_MAGN_y	y	MAGN	right_thigh	Gauss	200	imu
right_thigh_MAGN_z	z	MAGN	right_thigh	Gauss	200	imu
right_shank_ACCEL_x	x	ACCEL	right_shank	g	200	imu
right_shank_ACCEL_y	y	ACCEL	right_shank	g	200	imu
right_shank_ACCEL_z	z	ACCEL	right_shank	g	200	imu
right_shank_GYRO_x	x	GYRO	right_shank	deg/s	200	imu
right_shank_GYRO_y	y	GYRO	right_shank	deg/s	200	imu
right_shank_GYRO_z	z	GYRO	right_shank	deg/s	200	imu
right_shank_MAGN_x	x	MAGN	right_shank	Gauss	200	imu
right_shank_MAGN_y	y	MAGN	right_shank	Gauss	200	imu
right_shank_MAGN_z	z	MAGN	right_shank	Gauss	200	imu
right_foot_ACCEL_x	x	ACCEL	right_foot	g	200	imu
right_foot_ACCEL_y	y	ACCEL	right_foot	g	200	imu
right_foot_ACCEL_z	z	ACCEL	right_foot	g	200	imu
right_foot_GYRO_x	x	GYRO	right_foot	deg/s	200	imu
right_foot_GYRO_y	y	GYRO	right_foot	deg/s	200	imu
right_foot_GYRO_z	z	GYRO	right_foot	deg/s	200	imu
right_foot_MAGN_x	x	MAGN	right_foot	Gauss	200	imu
right_foot_MAGN_y	y	MAGN	right_foot	Gauss	200	imu
right_foot_MAGN_z	z	MAGN	right_foot	Gauss	200	imu
left_ankle_ACCEL_x	x	ACCEL	left_ankle	g	200	imu
left_ankle_ACCEL_y	y	ACCEL	left_ankle	g	200	imu
left_ankle_ACCEL_z	z	ACCEL	left_ankle	g	200	imu
left_ankle_GYRO_x	x	GYRO	left_ankle	deg/s	200	imu
left_ankle_GYRO_y	y	GYRO	left_ankle	deg/s	200	imu
left_ankle_GYRO_z	z	GYRO	left_ankle	deg/s	200	imu
left_ankle_MAGN_x	x	MAGN	left_ankle	Gauss	200	imu
left_ankle_MAGN_y	y	MAGN	left_ankle	Gauss	200	imu
left_ankle_MAGN_z	z	MAGN	left_ankle	Gauss	200	imu
right_ankle_ACCEL_x	x	ACCEL	right_ankle	g	200	imu
right_ankle_ACCEL_y	y	ACCEL	right_ankle	g	200	imu
right_ankle_ACCEL_z	z	ACCEL	right_ankle	g	200	imu
right_ankle_GYRO_x	x	GYRO	right_ankle	deg/s	200	imu
right_ankle_GYRO_y	y	GYRO	right_ankle	deg/s	200	imu
right_ankle_GYRO_z	z	GYRO	right_ankle	deg/s	200	imu
right_ankle_MAGN_x	x	MAGN	right_ankle	Gauss	200	imu
right_ankle_MAGN_y	y	MAGN	right_ankle	Gauss	200	imu
right_ankle_MAGN_z	z	MAGN	right_ankle	Gauss	200	imu
